forecast_row_id,season,round,race_name,circuit_id,circuit_name,driver_id,driver_code,driver_name,current_grid,current_quali_position,current_best_quali_sec,current_best_quali_delta_sec,current_grid_started_from_pit,current_sprint_quali_position,current_sprint_quali_delta_sec,current_sprint_pole,current_sprint_finish_position,current_sprint_grid_to_finish_delta,current_sprint_dnf_flag,current_sprint_fastest_lap_delta_sec,current_sprint_quali_available,current_sprint_result_available,estimate_source,has_prerace_override,has_explicit_grid_override,has_explicit_quali_override,has_grid_penalty_override,grid_penalty_places,grid_penalty_back_of_grid,circuit_source_starts,profile_source_starts,family_source_starts,recent_source_starts
3,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,antonelli,ANT,Andrea Kimi Antonelli,1,1,104.361,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,1,4,71,33
15,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,max_verstappen,VER,Max Verstappen,2,2,104.678,0.317,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,8,27,416,182
20,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,russell,RUS,George Russell,3,4,104.869,0.508,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,7,24,368,161
14,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,leclerc,LEC,Charles Leclerc,4,5,104.893,0.532,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,8,27,416,182
11,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,hamilton,HAM,Lewis Hamilton,5,6,104.895,0.534,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,8,27,414,181
19,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,piastri,PIA,Oscar Piastri,6,7,105.016,0.655,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,3,10,172,79
4,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,arvid_lindblad,LIN,Arvid Lindblad,7,8,105.143,0.782,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,NA,1,18,9
6,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,bortoleto,BOR,Gabriel Bortoleto,8,9,105.628,1.267,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,1,4,71,33
13,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,lawson,LAW,Liam Lawson,9,11,106.12,1.759,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,1,6,99,44
9,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,gasly,GAS,Pierre Gasly,10,12,106.331,1.97,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,8,27,416,182
8,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,colapinto,COL,Franco Colapinto,11,13,106.392,2.031,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,1,5,78,36
12,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,hulkenberg,HUL,Nico Hülkenberg,12,14,106.671,2.31,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,5,18,283,126
16,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,norris,NOR,Lando Norris,13,3,104.801,0.44,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,TRUE,10,0,7,24,368,161
21,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,sainz,SAI,Carlos Sainz,14,15,106.777,2.416,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,8,27,414,181
5,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,bearman,BEA,Oliver Bearman,15,16,106.779,2.418,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,1,4,77,36
1,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,albon,ALB,Alexander Albon,16,17,107.12,2.759,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,6,20,312,138
17,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,ocon,OCO,Esteban Ocon,17,18,107.801,3.44,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,7,24,366,160
7,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,bottas,BOT,Valtteri Bottas,18,19,107.823,3.462,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,7,24,363,158
18,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,perez,PER,Sergio Pérez,19,20,107.971,3.61,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,FALSE,0,0,7,22,355,156
22,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,stroll,STR,Lance Stroll,20,22,110.177,5.816,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,TRUE,10,0,8,27,410,180
10,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,hadjar,HAD,Isack Hadjar,21,10,105.823,1.462,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,TRUE,0,1,1,4,71,33
2,2026,10,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,alonso,ALO,Fernando Alonso,22,21,110.002,5.641,0,NA,NA,NA,NA,NA,NA,NA,0,0,user_prerace_override,TRUE,TRUE,TRUE,TRUE,0,1,6,20,323,144
